Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
SA,"Swansea",730075,315791,29241,23159,0,51.7606,-4.20654
SE,"South East London",988126,412444,34165,20476,139,51.4669,-0.0357936
SG,"Stevenage",402479,167182,16831,11823,0,51.9468,-0.159269
SK,"Stockport",603540,260549,24976,16414,0,53.3714,-2.09836
SL,"Slough",373407,144554,16620,10583,0,51.5153,-0.64219
SM,"Sutton",217171,87907,6638,4350,0,51.3628,-0.184522
SN,"Swindon",458798,191252,21374,14362,0,51.5059,-1.89407
SO,"Southampton",665472,276330,40011,18298,0,50.9296,-1.39192
SP,"Salisbury",232282,94658,11348,8571,0,51.109,-1.7787
SR,"Sunderland",250843,109612,8634,6509,15,54.8765,-1.38943
SS,"Southend-on-Sea",518631,216682,17265,11891,0,51.5622,0.599858
ST,"Stoke-on-Trent",644416,275646,22575,17581,0,52.9778,-2.14639
SW,"South West London",877183,382790,36392,19890,0,51.4641,-0.167505
SY,"Shrewsbury",341952,144660,17187,14402,0,52.6645,-3.0473
TA,"Taunton",322408,139414,14693,11711,0,51.0557,-3.067
TD,"Galashiels",112644,52111,5227,4476,1,55.6145,-2.52482
TF,"Telford",212536,85637,9230,6978,0,52.7131,-2.46186
TN,"Tonbridge",681747,286228,32534,22620,0,51.0853,0.441811
TQ,"Torquay",281112,125365,13143,9974,0,50.459,-3.61616
TR,"Truro",294061,127803,15303,12101,0,50.211,-5.24369
TS,"Cleveland",602320,256341,22898,17477,0,54.5849,-1.22395
TW,"Twickenham",491918,193508,20069,11017,0,51.4486,-0.390043
UB,"Southall",371413,126879,11514,7112,0,51.5277,-0.417166
W,"West London",531690,236493,39954,18554,0,51.5115,-0.192817
WA,"Warrington",616482,261804,25555,18090,0,53.3905,-2.5913
WC,"Central London",35745,15757,7424,2610,0,51.5176,-0.122587
WD,"Watford",256476,103336,15889,7344,1,51.6587,-0.393739
WF,"Wakefield",512784,214107,18237,14415,0,53.6855,-1.49642
WN,"Wigan",309156,131514,9152,7149,0,53.5344,-2.6374
WR,"Worcester",287838,122730,12461,8733,0,52.163,-2.16845
WS,"Walsall",449728,181669,14838,10089,0,52.6494,-1.95714
WV,"Wolverhampton",396187,162933,14216,10457,78,52.5808,-2.1622
YO,"York",562761,242140,34239,18600,0,54.0449,-0.887244
ZE,"Lerwick",23086,9915,749,650,0,60.2203,-1.19846
